trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0534962	0.04725
0.0025	0.0849	-0.0228	-0.0003054326190990077	6.45771823237902e-05	8.726646259971648e-06	1.12152171	58.2782135	1.06321198	0.12913682238413848	0.0469026	0.02707
-0.0011	-0.1353	-0.0298	0.00020769418098732522	-0.000158824961931484	-2.96705972839036e-05	1.35450804	70.38500214	1.16657308	0.2695463093942741	0.0583822	0.0454
-0.0007	-0.0948	-0.0409	0.000614355896702004	-0.00026878070480712676	6.981317007977319e-05	0.92656755	48.14770889	0.90853929	0.08280506129769992	0.0563302	0.04122
0.0028	0.0034	-0.0346	0.0007627088831215222	-5.93411945678072e-05	0.00012217304763960306	0.97925961	50.88577271	0.93819547	0.12850761871093339	0.0511673	0.03103
0.0101	0.1035	-0.0363	0.0007906341511534313	-0.0004328416544945937	0.0003717551306747922	1.02706456	53.36988449	0.98440944	0.14165039054969425	0.046249	0.02293
0.0181	0.0027	-0.0765	0.0006300638599699529	-0.0006649704450098395	0.0006894050545377602	1.00844204	52.40219498	0.95527699	0.18451745027808464	0.0467445	0.02406
0.0153	0.1439	-0.0645	0.0006894050545377602	-0.0007243116395776468	0.0006213372137099814	1.05752444	54.95269012	0.97936438	0.16533751149816966	0.0421796	0.01893
0.0204	0.0286	-0.1105	0.0008185594191853405	-0.0007923794804054256	0.000895353906273091	1.02649939	53.34051514	0.96530241	0.1899619449019234	0.043357	0.0206
0.0358	0.1101	-0.0766	0.0006527531402458793	-0.00034557519189487725	0.0009564404300928925	0.95633948	49.69476318	0.92966179	0.16448485456349055	0.0399757	0.01519
0.0389	-0.0136	-0.1173	0.0005497787143782138	-0.0002600540585471551	0.0010960667702524388	1.04484916	54.29403687	0.96459362	0.1839060949687467	0.0427673	0.0176
0.0356	0.0406	-0.0763	0.00040317105721069014	-0.0004886921905584122	0.0010122909661567112	0.92107886	47.86249542	0.905839	0.1214510796637254	0.042346	0.01878
0.0444	0.026	-0.1134	0.0006003932626860494	-0.00039968039870670147	0.001322959573011702	0.90966278	47.26927567	0.89938669	0.09034513020910304	0.0401655	0.01556
0.0482	0.0239	-0.0829	0.0004991641660703782	-0.00030194196059501896	0.0012932889757277981	0.89176255	46.33911896	0.89188219	0.04783190660056287	0.0414193	0.01756
0.0601	0.0881	-0.0716	0.0015341444125030156	-0.0006771877497737998	0.0019250981649497454	1.23559892	64.20606232	1.06621669	0.1895017612416683	0.044313	0.0221
0.074	-0.069	-0.1019	-0.0005916666164260777	-0.001064650843716541	0.002106612407157156	1.45008874	75.35170746	1.17014869	0.33603941825396233	0.0431077	0.01924
